,Date,Time,Open,High,Low,Close,Volume
1638,2022.02.07,00:00,1810.16,1823.43,1808.58,1821.93,74272
1639,2022.02.08,00:00,1821.84,1828.64,1815.31,1825.83,66282
1640,2022.02.09,00:00,1825.8,1835.71,1824.62,1832.49,59639
1641,2022.02.10,00:00,1832.4,1841.79,1821.53,1826.66,81105
1642,2022.02.11,00:00,1826.6,1865.36,1820.93,1858.92,89804
1643,2022.02.13,00:00,1855.64,1861.49,1855.46,1859.49,2536
1644,2022.02.14,00:00,1859.38,1873.95,1850.69,1870.93,101663
1645,2022.02.15,00:00,1871.08,1879.38,1844.41,1852.84,86850
1646,2022.02.16,00:00,1852.9,1872.44,1850.18,1869.87,76412
1647,2022.02.17,00:00,1869.86,1900.98,1867.69,1899.81,98346
1648,2022.02.18,00:00,1899.91,1902.37,1886.47,1897.58,84172
1649,2022.02.20,00:00,1902.84,1906.39,1899.4,1904.79,2449
1650,2022.02.21,00:00,1905.5,1914.14,1887.53,1909.41,83603
1651,2022.02.22,00:00,1909.61,1913.81,1891.37,1898.14,146701
1652,2022.02.23,00:00,1898.17,1911.43,1889.56,1910.65,107924
1653,2022.02.24,00:00,1910.69,1974.31,1878.03,1906.48,204812
1654,2022.02.25,00:00,1906.67,1921.45,1882.94,1888.88,147232
1655,2022.02.27,00:00,1921.6,1927.0,1904.32,1910.13,6058
1656,2022.02.28,00:00,1909.8,1919.3,1890.82,1906.26,147236
1657,2022.03.01,00:00,1906.14,1950.04,1901.28,1942.18,145235
1658,2022.03.02,00:00,1942.17,1947.8,1913.75,1928.71,143126
1659,2022.03.03,00:00,1929.03,1941.16,1921.96,1934.8,129138
1660,2022.03.04,00:00,1934.77,1970.69,1929.54,1970.4,150446
1661,2022.03.06,00:00,1981.46,1991.16,1981.35,1988.66,6662
1662,2022.03.07,00:00,1988.62,2002.49,1960.9,1998.66,206800
1663,2022.03.08,00:00,1998.99,2070.44,1981.01,2043.69,205891
1664,2022.03.09,00:00,2043.84,2059.14,1976.12,1989.82,187516
1665,2022.03.10,00:00,1989.76,2009.14,1970.66,1995.21,154977
1666,2022.03.11,00:00,1995.33,1997.19,1958.58,1988.06,113730
1667,2022.03.13,00:00,1980.95,1983.86,1970.61,1974.2,4299
1668,2022.03.14,00:00,1973.99,1978.69,1949.67,1952.08,111452
1669,2022.03.15,00:00,1952.14,1952.16,1907.01,1917.95,119735
1670,2022.03.16,00:00,1917.72,1929.5,1894.98,1926.97,112843
1671,2022.03.17,00:00,1926.84,1949.75,1925.42,1943.83,101427
1672,2022.03.18,00:00,1943.61,1945.26,1917.9,1921.14,89845
1673,2022.03.20,00:00,1925.06,1926.26,1918.2,1919.01,3324
1674,2022.03.21,00:00,1918.87,1941.06,1918.1,1935.57,87655
1675,2022.03.22,00:00,1935.6,1938.35,1910.62,1919.57,92891
1676,2022.03.23,00:00,1919.49,1948.29,1915.49,1946.03,85062
1677,2022.03.24,00:00,1945.9,1966.0,1937.32,1959.17,100662
1678,2022.03.25,00:00,1959.38,1964.19,1943.1,1958.04,95679
1679,2022.03.27,00:00,1955.56,1957.95,1954.68,1957.14,3266
1680,2022.03.28,00:00,1957.07,1958.31,1916.89,1924.02,130414
1681,2022.03.29,00:00,1923.95,1929.28,1890.07,1916.32,127401
1682,2022.03.30,00:00,1916.15,1938.44,1915.86,1934.0,101409
1683,2022.03.31,00:00,1933.91,1949.7,1919.19,1936.61,107038
1684,2022.04.01,00:00,1936.68,1939.44,1917.94,1924.94,99109
1685,2022.04.03,00:00,1924.51,1924.97,1921.32,1924.71,2204
1686,2022.04.04,00:00,1924.18,1936.75,1915.53,1931.42,89878
1687,2022.04.05,00:00,1931.52,1944.51,1917.91,1920.63,93945
1688,2022.04.06,00:00,1920.64,1933.43,1915.04,1923.72,109442
1689,2022.04.07,00:00,1923.74,1937.67,1920.5,1932.93,95724
1690,2022.04.08,00:00,1933.0,1948.03,1927.62,1947.24,89777
1691,2022.04.10,00:00,1947.94,1949.85,1943.21,1944.61,3667
1692,2022.04.11,00:00,1944.4,1969.53,1939.93,1952.75,112554
1693,2022.04.12,00:00,1952.59,1978.51,1949.6,1965.85,107217
1694,2022.04.13,00:00,1965.95,1981.44,1962.74,1977.1,100689
1695,2022.04.14,00:00,1976.9,1980.32,1960.54,1973.29,98611
1696,2022.04.17,00:00,1972.73,1987.99,1971.96,1986.67,4747
1697,2022.04.18,00:00,1987.13,1998.24,1976.11,1977.03,100630
1698,2022.04.19,00:00,1976.62,1981.9,1943.7,1949.69,118164
1699,2022.04.20,00:00,1949.75,1958.25,1939.23,1956.74,117128
1700,2022.04.21,00:00,1956.71,1957.32,1936.64,1950.92,118274
1701,2022.04.22,00:00,1950.68,1955.56,1926.59,1931.43,126060
1702,2022.04.24,00:00,1932.24,1934.34,1929.39,1932.57,3065
1703,2022.04.25,00:00,1932.55,1932.56,1891.42,1899.31,144387
1704,2022.04.26,00:00,1899.38,1911.11,1895.67,1906.5,127749
1705,2022.04.27,00:00,1906.67,1906.88,1881.32,1885.59,122139
1706,2022.04.28,00:00,1885.49,1896.62,1872.09,1895.46,125355
1707,2022.04.29,00:00,1895.47,1919.82,1894.36,1897.13,116922
